YearStart,LocationAbbr,Datasource,Class,Data_Value,Low_Confidence_Limit,High_Confidence_Limit ,Sample_Size,Age(years),Education,Gender,Income
2018,AZ,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,33.2,27.7,39.2,721,,,,"$25,000 - $34,999"
2018,WY,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,33.9,27.4,41.2,230,,,,
2018,NM,Behavioral Risk Factor Surveillance System,Physical Activity,27.5,24.8,30.4,1790,,High school graduate,,
2018,NE,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,8.3,3.3,19.3,69,,,,
2018,KY,Behavioral Risk Factor Surveillance System,Physical Activity,34.5,32.3,36.8,4908,,,Female,
2018,MN,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,35.7,34.8,36.7,15631,,,,
2018,MA,Behavioral Risk Factor Surveillance System,Physical Activity,22.3,19.4,25.4,1086,45 - 54,,,
2018,KY,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,32.6,29.8,35.5,2493,,College graduate,,
2018,MO,Behavioral Risk Factor Surveillance System,Physical Activity,27,23.3,31.1,810,45 - 54,,,
2018,CA,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,38.8,35.9,41.7,2551,65 or older,,,
2018,DE,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,37.7,30.9,45,327,,,,"Less than $15,000"
2018,LA,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,39.5,36.9,42.1,2569,,,Female,
2018,FL,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,34.5,31,38.1,2641,55 - 64,,,
2018,OK,Behavioral Risk Factor Surveillance System,Physical Activity,29.1,27.1,31.2,3047,,,Female,
2018,KY,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,54.8,31.7,76,82,,,,
2018,TN,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,36.6,24.3,50.9,106,,,,
2018,SC,Behavioral Risk Factor Surveillance System,Physical Activity,28.4,25.5,31.4,1453,45 - 54,,,
2018,NC,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,32.5,29.2,36.1,1073,,High school graduate,,
2018,WY,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,,,,,,,,
2018,UT,Behavioral Risk Factor Surveillance System,Physical Activity,9.7,8.6,11,3663,,,,"$75,000 or greater"
2018,DC,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,21.2,18.8,23.8,1884,,,Male,
2018,HI,Behavioral Risk Factor Surveillance System,Physical Activity,20.1,11.2,33.3,84,,,,
2018,OH,Behavioral Risk Factor Surveillance System,Physical Activity,24.7,22.1,27.6,1909,45 - 54,,,
2018,NV,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,37.8,34.8,40.9,2019,,,,
2018,GU,Behavioral Risk Factor Surveillance System,Physical Activity,36,27.9,45,239,35 - 44,,,
2018,KY,Behavioral Risk Factor Surveillance System,Physical Activity,34.5,30.6,38.5,1639,,,,Data not reported
2018,OK,Behavioral Risk Factor Surveillance System,Physical Activity,30.1,26.2,34.2,874,,,,Data not reported
2018,NH,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,,,,,,,,
2018,SC,Behavioral Risk Factor Surveillance System,Physical Activity,22.6,12.3,37.8,72,,,,
2018,ME,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,19.9,11.4,32.5,104,,,,
2018,MA,Behavioral Risk Factor Surveillance System,Physical Activity,17.5,9.1,30.9,59,,,,
2018,WV,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,,,,,,,,
2018,NM,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,38.5,34.9,42.2,1385,55 - 64,,,
2018,WI,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,35.8,26.5,46.3,193,,,,
2018,NJ,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,39.6,35.3,44.1,1270,,College graduate,,
2018,UT,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,29.7,24.5,35.4,419,,,,"Less than $15,000"
2018,AZ,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,36.7,32.2,41.4,1070,,,,"$50,000 - $74,999"
2018,LA,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,33.8,30.2,37.6,1050,55 - 64,,,
2018,AR,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,40.5,36.7,44.4,1273,,Some college or technical school,,
2018,US,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,35.5,34.3,36.7,27552,,Less than high school,,
2018,MN,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,32.7,30.3,35.3,1814,25 - 34,,,
2018,ND,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,38.1,32.2,44.3,596,,,,"$15,000 - $24,999"
2018,OH,Behavioral Risk Factor Surveillance System,Physical Activity,22.2,20.6,23.8,5375,,,Male,
2018,IN,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,38,27.6,49.6,123,,,,
2018,HI,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,34.1,32,36.2,3137,,College graduate,,
2018,SC,Behavioral Risk Factor Surveillance System,Physical Activity,14.4,10.8,18.8,445,18 - 24,,,
2018,PA,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,,,,,,,,
2018,MI,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,31.6,26.5,37.1,449,,Less than high school,,
2018,AL,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,,,,,,,,
2018,HI,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,34.5,20.8,51.4,79,,,,
2018,GU,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,30.7,21.4,41.9,127,,,,
2018,NE,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,32.1,28.8,35.5,1396,25 - 34,,,
2018,KS,Behavioral Risk Factor Surveillance System,Physical Activity,11.9,10.5,13.3,3078,,,,"$75,000 or greater"
2018,OR,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,33.1,25.1,42.1,193,,,,
2018,NY,Behavioral Risk Factor Surveillance System,Physical Activity,22.3,20.3,24.4,4478,35 - 44,,,
2018,RI,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,39.8,34.6,45.3,661,,,,"$50,000 - $74,999"
2018,SC,Behavioral Risk Factor Surveillance System,Physical Activity,21.6,13,33.7,90,,,,
2018,MO,Behavioral Risk Factor Surveillance System,Physical Activity,14.3,12,16.9,1399,,,,"$75,000 or greater"
2018,MT,Behavioral Risk Factor Surveillance System,Physical Activity,29.1,26.4,32,1960,65 or older,,,
2018,NC,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,34.4,29.8,39.2,565,35 - 44,,,
2018,LA,Behavioral Risk Factor Surveillance System,Physical Activity,28.5,26.5,30.5,3343,,,,
2018,NE,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,36.3,33.4,39.4,2183,,,,"$50,000 - $74,999"
2018,IN,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,24.4,15.5,36.1,123,,,,
2018,MA,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,29.4,26.3,32.7,1133,,High school graduate,,
2018,UT,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,29.5,26.3,32.8,1127,,,,"$35,000 - $49,999"
2018,NJ,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,37.6,29.5,46.3,317,,,,
2018,ND,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,37.5,31.9,43.5,612,,,,Data not reported
2018,MA,Behavioral Risk Factor Surveillance System,Physical Activity,32.7,27.1,38.8,461,,,,"$25,000 - $34,999"
2018,MN,Behavioral Risk Factor Surveillance System,Physical Activity,17.7,15.9,19.7,2558,,,,"$50,000 - $74,999"
2018,NH,Behavioral Risk Factor Surveillance System,Physical Activity,,,,,,,,
2018,CO,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,36,33.6,38.4,2157,,Some college or technical school,,
2018,VI,Behavioral Risk Factor Surveillance System,Physical Activity,,,,,25 - 34,,,
2018,NM,Behavioral Risk Factor Surveillance System,Physical Activity,19,15.8,22.7,810,35 - 44,,,
2018,WV,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,34.7,24.2,46.9,103,,,,
2018,VI,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,,,,,,,,"$15,000 - $24,999"
2018,MT,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,27.8,25.6,30.2,2333,,,Male,
2018,ME,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,36.8,33,40.9,1376,,,,"$35,000 - $49,999"
2018,MN,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,39.3,34.2,44.5,480,,,,
2018,MD,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,39.3,37.6,41,6662,65 or older,,,
2018,NJ,Behavioral Risk Factor Surveillance System,Physical Activity,36.3,26.3,47.6,273,,,,"$35,000 - $49,999"
2018,UT,Behavioral Risk Factor Surveillance System,Physical Activity,18.8,16.5,21.4,1671,45 - 54,,,
2018,HI,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,35.2,31.2,39.4,1054,,,,"$50,000 - $74,999"
2018,DC,Behavioral Risk Factor Surveillance System,Physical Activity,22.9,20.5,25.4,2411,,,Female,
2018,WI,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,35.4,25.8,46.3,193,,,,
2018,RI,Behavioral Risk Factor Surveillance System,Physical Activity,28.4,26,30.8,3112,,,Female,
2018,TN,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,32.9,27.2,39.1,448,,Less than high school,,
2018,AZ,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,30.3,27.9,32.9,3920,,,Female,
2018,ID,Behavioral Risk Factor Surveillance System,Physical Activity,15.7,11.7,20.8,418,25 - 34,,,
2018,MD,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,35.8,32.2,39.6,1512,,,,"$35,000 - $49,999"
2018,IA,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,32.9,30.9,34.9,2654,,High school graduate,,
2018,NY,Behavioral Risk Factor Surveillance System,Physical Activity,27.8,25.4,30.2,2431,,,,
2018,MS,Behavioral Risk Factor Surveillance System,Physical Activity,,,,,,,,
2018,MI,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,35.7,32.4,39.1,1146,35 - 44,,,
2018,CA,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,38.2,29.2,48.1,179,,,,
2018,PR,Behavioral Risk Factor Surveillance System,Physical Activity,,,,,,,,
2018,TX,Behavioral Risk Factor Surveillance System,Physical Activity,32.8,27.8,38.3,1629,45 - 54,,,
2018,ME,Behavioral Risk Factor Surveillance System,Physical Activity,31.9,17.5,51,103,,,,
2018,CT,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,38.5,35.6,41.5,1684,45 - 54,,,
2018,NJ,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,36,29.6,42.8,546,55 - 64,,,
2018,AL,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,37.2,24.7,51.7,87,,,,
2018,PA,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,30.9,28.8,33.1,2881,,,Male,
2018,ID,Behavioral Risk Factor Surveillance System,Physical Activity,,,,,,,,
2018,SC,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,35.9,33.3,38.5,2768,,Some college or technical school,,
2018,MA,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,38.9,34.3,43.6,751,,,,"$50,000 - $74,999"
2018,KS,Behavioral Risk Factor Surveillance System,Physical Activity,20.2,18.9,21.6,4970,,,Male,
2018,WY,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,26.4,22.1,31.3,552,,,,"$35,000 - $49,999"
2018,RI,Behavioral Risk Factor Surveillance System,Physical Activity,42.5,35.7,49.5,418,,,,"Less than $15,000"
2018,CO,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,33.1,20.4,48.7,56,,,,
2018,MO,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,25.9,13.9,43.2,50,,,,
2018,ID,Behavioral Risk Factor Surveillance System,Physical Activity,,,,,,,,
2018,WA,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,15.2,12.2,18.7,620,18 - 24,,,
2018,NH,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,37.2,31.9,42.8,607,,,,"$35,000 - $49,999"
2018,WV,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,35.3,30.7,40.1,636,,,,"$35,000 - $49,999"
2018,AR,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,26,18.8,34.7,151,18 - 24,,,
2018,AR,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,38,22.4,56.5,62,,,,
2018,IL,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,36.1,31.4,41,561,,,,"$35,000 - $49,999"
2018,OH,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,33.1,29.6,36.8,1592,,,,Data not reported
2018,OR,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,36.5,30.3,43.1,409,,,,"Less than $15,000"
2018,VA,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,30,26.5,33.7,998,25 - 34,,,
2018,OR,Behavioral Risk Factor Surveillance System,Physical Activity,,,,,,,,
2018,FL,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,33.2,29.5,37,2641,55 - 64,,,
2018,VI,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,,,,,,,,
2018,MS,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,29.6,25.2,34.4,749,,,,"Less than $15,000"
2018,NV,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,31.3,25.8,37.4,564,55 - 64,,,
2018,MO,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,27.6,23.3,32.3,512,25 - 34,,,
2018,KS,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,31.9,28.8,35.2,1110,35 - 44,,,
2018,MD,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,39.9,36.6,43.4,2136,,,,"$50,000 - $74,999"
2018,US,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,27.4,26.9,27.9,117780,,,,"$75,000 or greater"
2018,OK,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,32.1,25.4,39.7,252,,,,
2018,VI,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,,,,,,,Female,
2018,CO,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,22.5,20.8,24.2,3070,,,,"$75,000 or greater"
2018,SD,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,41.2,37.1,45.4,1637,,,,"$75,000 or greater"
2018,TN,Behavioral Risk Factor Surveillance System,Physical Activity,25,22.1,28.1,1348,,Some college or technical school,,
2018,NE,Behavioral Risk Factor Surveillance System,Physical Activity,30.2,26.8,33.9,1450,,,,"$25,000 - $34,999"
2018,LA,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,39.6,34.6,44.8,579,,,,"$50,000 - $74,999"
2018,NH,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,42,33.3,51.1,234,,Less than high school,,
2018,AR,Behavioral Risk Factor Surveillance System,Physical Activity,25.7,22.7,29,1367,,Some college or technical school,,
2018,IN,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,38,33.9,42.3,658,35 - 44,,,
2018,GU,Behavioral Risk Factor Surveillance System,Physical Activity,22.9,14,35,137,,,,
2018,CA,Behavioral Risk Factor Surveillance System,Physical Activity,21,20,22,11911,,,,
2018,CT,Behavioral Risk Factor Surveillance System,Physical Activity,22.4,21.2,23.5,10694,,,,
2018,UT,Behavioral Risk Factor Surveillance System,Physical Activity,16.8,15.4,18.4,3278,,Some college or technical school,,
2018,AZ,Behavioral Risk Factor Surveillance System,Physical Activity,32,27.7,36.7,1212,,,,"$15,000 - $24,999"
2018,NE,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,34.1,32.9,35.3,13669,,,,
2018,WV,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,34,31.5,36.7,1726,65 or older,,,
2018,OK,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,36.3,33.4,39.3,1606,,College graduate,,
2018,TN,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,30.1,26.6,33.9,1149,,,,"$75,000 or greater"
2018,WI,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,36.1,32.4,40,1018,55 - 64,,,
2018,CO,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,35.8,34.4,37.3,6246,,,,
2018,WI,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,42.3,24,63,55,,,,
2018,CT,Behavioral Risk Factor Surveillance System,Physical Activity,30.4,26.7,34.4,795,,,,
2018,DC,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,31.1,29.2,33.1,4081,,,,
2018,ID,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,37.6,32.9,42.6,624,55 - 64,,,
2018,NY,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,30.5,27.9,33.2,4191,,,,"$50,000 - $74,999"
2018,KY,Behavioral Risk Factor Surveillance System,Physical Activity,32.4,30.8,34.1,8537,,,,
2018,NV,Behavioral Risk Factor Surveillance System,Physical Activity,20.7,18.4,23.3,2113,,,,
2018,VI,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,,,,,,,,
2018,CO,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,6.4,3,13.1,118,,,,
2018,AZ,Behavioral Risk Factor Surveillance System,Physical Activity,27.1,15,43.9,116,,,,
2018,WA,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,29.4,28.2,30.7,9751,,,,
2018,MS,Behavioral Risk Factor Surveillance System,Physical Activity,23.1,19,27.7,573,,,,"$50,000 - $74,999"
2018,CT,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,10.9,6.3,18.1,204,,,,
2018,DE,Behavioral Risk Factor Surveillance System,Physical Activity,23.6,20.2,27.4,808,45 - 54,,,
2018,OK,Behavioral Risk Factor Surveillance System,Physical Activity,27.2,25.7,28.8,5244,,,,
2018,OR,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,34.8,31.2,38.6,1017,55 - 64,,,
2018,MN,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,37.8,33.6,42.2,755,,,,"Less than $15,000"
2018,KS,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,33,30.9,35.3,2581,,High school graduate,,
2018,VT,Behavioral Risk Factor Surveillance System,Physical Activity,8.6,7.5,9.9,2934,,College graduate,,
2018,VT,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,,,,,,,,
2018,GA,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,31.6,29.8,33.5,3736,,,Male,
2018,AL,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,29.6,25.3,34.3,649,,Less than high school,,
2018,NH,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,31.1,28.6,33.8,2453,,,Male,
2018,NE,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,29.5,27.6,31.5,4218,,College graduate,,
2018,IA,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,41,37.6,44.6,1056,,,,"$15,000 - $24,999"
2018,TN,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,37.9,32.8,43.3,559,25 - 34,,,
2018,GU,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,34.1,24.3,45.5,138,,,,
2018,LA,Behavioral Risk Factor Surveillance System,Physical Activity,23.3,18.3,29.2,364,18 - 24,,,
2018,VI,Behavioral Risk Factor Surveillance System,Physical Activity,,,,,,,,"Less than $15,000"
2018,MO,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,39.7,33.1,46.8,476,,,,"Less than $15,000"
2018,VA,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,36.6,31.5,42.1,607,,,,"Less than $15,000"
2018,AR,Behavioral Risk Factor Surveillance System,Physical Activity,38.8,34.2,43.7,1022,,,,Data not reported
2018,MI,Behavioral Risk Factor Surveillance System,Physical Activity,29.6,25.9,33.7,839,,,,"$25,000 - $34,999"
2018,DE,Behavioral Risk Factor Surveillance System,Physical Activity,,,,,,,,
2018,AL,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,19.3,14.7,24.9,279,18 - 24,,,
2018,CT,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,27.1,23.5,30.9,772,25 - 34,,,
2018,TX,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,36.1,32.2,40.1,2429,,High school graduate,,
2018,US,Behavioral Risk Factor Surveillance System,Physical Activity,19.8,19.1,20.5,57676,,,,"$50,000 - $74,999"
2018,MA,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,29.5,23.9,35.9,421,,,,"$25,000 - $34,999"
2018,NC,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,30.6,24.5,37.4,286,,,,
2018,MA,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,,,,,,,,
2018,IL,Behavioral Risk Factor Surveillance System,Physical Activity,37.2,31.9,42.9,474,,,,"Less than $15,000"
2018,GU,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,36,28.4,44.3,206,25 - 34,,,
2018,WV,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,36.2,33.1,39.3,1354,,College graduate,,
2018,WA,Behavioral Risk Factor Surveillance System,Physical Activity,24,16.5,33.6,153,,,,
2018,VI,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,,,,,18 - 24,,,
2018,VA,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,22.5,19.5,25.8,1270,,,,Data not reported
2018,ND,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,32.7,27.2,38.8,596,,,,"$15,000 - $24,999"
2018,AZ,Behavioral Risk Factor Surveillance System,Physical Activity,28.8,23.5,34.6,772,,,,"$25,000 - $34,999"
2018,GA,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,30.2,25.8,35.1,533,,,,
2018,NH,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,40.6,38,43.3,2453,,,Male,
2018,WI,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,33.8,17.8,54.5,55,,,,
2018,AK,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,38.8,34.2,43.5,833,65 or older,,,
2018,GA,Behavioral Risk Factor Surveillance System,Physical Activity,24.2,14.5,37.5,91,,,,
2018,MS,Behavioral Risk Factor Surveillance System,Physical Activity,25.8,23.3,28.4,1711,,Some college or technical school,,
2018,DC,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,9.5,4.7,18.1,98,,,,
2018,AK,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,,,,,,,,
2018,MS,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,34.7,32.5,36.8,3161,,,,
2018,ME,Behavioral Risk Factor Surveillance System,Physical Activity,12.1,9.4,15.5,721,25 - 34,,,
2018,LA,Behavioral Risk Factor Surveillance System,Physical Activity,16.9,14.5,19.6,1382,,,,"$75,000 or greater"
2018,IA,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,,,,,,,,
2018,RI,Behavioral Risk Factor Surveillance System,Physical Activity,26.6,19.9,34.7,202,,,,
2018,ND,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,30.4,25.1,36.3,612,,,,Data not reported
2018,PA,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,32.1,27.9,36.6,722,,,,"$15,000 - $24,999"
2018,FL,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,24.4,15.4,36.5,177,,,,
2018,NE,Behavioral Risk Factor Surveillance System,Physical Activity,24.7,22.1,27.6,1967,45 - 54,,,
2018,KY,Behavioral Risk Factor Surveillance System,Physical Activity,,,,,,,,
2018,NC,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,38.2,34.9,41.6,1235,,Some college or technical school,,
2018,NJ,Behavioral Risk Factor Surveillance System,Physical Activity,40.8,33.2,49,346,,,,"$15,000 - $24,999"
2018,NC,Behavioral Risk Factor Surveillance System,Physical Activity,29.3,26.3,32.6,1188,,High school graduate,,
2018,GA,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,43.2,38.4,48.1,702,,,,"Less than $15,000"
2018,AR,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,39.4,36.8,42.1,3052,,,Female,
2018,MN,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,31.9,29.3,34.5,1858,,,,"$35,000 - $49,999"
2018,AR,Behavioral Risk Factor Surveillance System,Physical Activity,23.1,19,27.9,552,,,,"$25,000 - $34,999"
2018,KS,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,39.5,37.1,42,2030,55 - 64,,,
2018,DC,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,,,,,,,,
2018,VT,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,21.9,10.2,41,69,,,,
2018,TX,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,39.6,33.4,46.1,1007,,Less than high school,,
2018,LA,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,36.8,34.9,38.7,4720,,,,
2018,TN,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,37.5,34.8,40.3,2224,,,Male,
2018,ID,Behavioral Risk Factor Surveillance System,Physical Activity,27.6,22.2,33.6,471,,,,Data not reported
2018,GU,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,35.9,31.3,40.8,691,,,Male,
2018,ND,Behavioral Risk Factor Surveillance System,Physical Activity,20.3,16.5,24.6,538,35 - 44,,,
2018,MI,Behavioral Risk Factor Surveillance System,Physical Activity,22.6,21.5,23.8,8254,,,,
2018,DE,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,51.2,35.9,66.3,75,,,,
2018,MS,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,39.7,34.9,44.6,637,,,,"$35,000 - $49,999"
2018,CA,Behavioral Risk Factor Surveillance System,Physical Activity,36,33.2,38.8,1684,,Less than high school,,
2018,HI,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,,,,,,,,
2018,HI,Behavioral Risk Factor Surveillance System,Physical Activity,,,,,,,,
2018,ME,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,29,24.9,33.5,1692,,,,Data not reported
2018,CA,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,33.3,31.4,35.2,3544,,,,
2018,KS,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,,,,,,,,
2018,NJ,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,31.8,26.1,38.2,546,55 - 64,,,
2018,VA,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,40,26,55.8,87,,,,
2018,WI,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,,,,,,,,
2018,MN,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,39.4,37.7,41.1,4633,65 or older,,,
2018,IN,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,39.3,31.6,47.5,214,,,,
2018,MS,Behavioral Risk Factor Surveillance System,Physical Activity,39.3,36.3,42.3,1791,,High school graduate,,
2018,GA,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,42.3,37.5,47.2,533,,,,
2018,US,Behavioral Risk Factor Surveillance System,Physical Activity,30,28.9,31,31970,,,,
2018,TX,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,30.6,27.5,33.8,2999,,,,"$75,000 or greater"
2018,AL,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,,,,,,,,
2018,DE,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,27.6,21.9,34,351,,Less than high school,,
2018,GU,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,30.3,20.8,41.7,203,,,,"Less than $15,000"
